AI Score,Shortlisted
2.0,True
1.0,False
3.0,True
3.0,True
5.0,True
2.0,True
0.0,False
1.0,True
3.0,True
4.0,True
2.0,True
2.0,True
2.0,True
6.0,True
2.0,True
2.0,True
1.0,False
2.0,True
2.0,True
2.0,True
2.0,True
1.0,True
2.0,True
6.0,True
2.0,True
2.0,True
1.0,True
1.0,True
1.0,False
2.0,True
2.0,True
2.0,True
4.0,True
1.0,False
1.0,True
5.0,True
2.0,True
1.0,True
1.0,False
4.0,True
3.0,True
0.0,False
1.0,True
2.0,True
1.0,True
2.0,True
2.0,True
2.0,True
1.0,False
1.0,False
2.0,True
1.0,False
1.0,True
2.0,True
1.0,True
5.0,True
4.0,True
6.0,True
6.0,True
1.0,False
2.0,True
2.0,True
0.0,False
4.0,True
0.0,False
1.0,False
1.0,False
1.0,True
4.0,True
4.0,True
3.0,True
2.0,True
1.0,True
3.0,True
1.0,True
6.0,True
4.0,True
1.0,False
5.0,True
8.0,True
6.0,True
1.0,False
4.0,True
1.0,False
4.0,True
2.0,True
2.0,True
1.0,True
3.0,True
4.0,True
2.0,True
2.0,True
4.0,True
2.0,True
0.0,False
1.0,False
2.0,True
3.0,True
6.0,True
1.0,False
2.0,True
1.0,True
4.0,True
2.0,True
4.0,True
4.0,True
5.0,True
2.0,True
4.0,True
0.0,False
1.0,False
4.0,True
3.0,True
2.0,True
2.0,True
1.0,True
4.0,True
3.0,True
4.0,True
1.0,False
2.0,True
4.0,True
3.0,True
2.0,True
2.0,True
4.0,True
8.0,True
3.0,True
3.0,True
2.0,True
4.0,True
5.0,True
1.0,False
2.0,True
3.0,True
2.0,True
2.0,True
3.0,True
2.0,True
1.0,False
3.0,True
1.0,True
1.0,False
1.0,False
2.0,True
1.0,False
3.0,True
5.0,True
0.0,False
2.0,True
2.0,True
2.0,True
1.0,False
1.0,False
2.0,True
2.0,True
4.0,True
2.0,True
0.0,False
2.0,True
4.0,True
5.0,True
3.0,True
4.0,True
2.0,True
2.0,True
5.0,True
4.0,True
2.0,True
5.0,True
2.0,True
4.0,True
2.0,True
2.0,True
4.0,True
3.0,True
3.0,True
2.0,True
3.0,True
2.0,True
3.0,True
2.0,True
2.0,True
5.0,True
1.0,True
0.0,False
2.0,True
4.0,True
2.0,True
2.0,True
3.0,True
0.0,False
2.0,True
3.0,True
4.0,True
2.0,True
3.0,True
1.0,False
3.0,True
3.0,True
1.0,True
4.0,True
1.0,True
4.0,True
4.0,True
2.0,True
4.0,True
1.0,False
2.0,True
1.0,True
1.0,True
2.0,True
1.0,True
1.0,False
1.0,False
0.0,False
3.0,True
4.0,True
4.0,True
3.0,True
2.0,True
5.0,True
2.0,True
1.0,False
2.0,True
3.0,True
4.0,True
1.0,False
2.0,True
2.0,True
3.0,True
2.0,True
1.0,True
3.0,True
2.0,True
2.0,True
2.0,True
1.0,True
6.0,True
4.0,True
3.0,True
3.0,True
5.0,True
3.0,True
0.0,False
0.0,False
2.0,True
1.0,True
6.0,True
3.0,True
2.0,True
2.0,True
7.0,True
2.0,True
3.0,True
4.0,True
1.0,True
0.0,False
2.0,True
1.0,False
4.0,True
2.0,True
2.0,True
2.0,True
2.0,True
3.0,True
2.0,True
3.0,True
5.0,True
6.0,True
2.0,True
3.0,True
3.0,True
1.0,True
1.0,False
2.0,True
4.0,True
3.0,True
1.0,True
1.0,True
2.0,True
2.0,True
2.0,True
2.0,True
5.0,True
2.0,True
2.0,True
1.0,False
3.0,True
1.0,True
2.0,True
3.0,True
2.0,True
3.0,True
1.0,True
0.0,False
1.0,True
2.0,True
2.0,True
1.0,True
2.0,True
2.0,True
2.0,True
5.0,True
1.0,False
6.0,True
2.0,True
2.0,True
2.0,True
2.0,True
4.0,True
2.0,True
3.0,True
2.0,True
3.0,True
8.0,True
3.0,True
2.0,True
2.0,True
2.0,True
2.0,True
1.0,False
2.0,True
3.0,True
4.0,True
0.0,False
5.0,True
2.0,True
3.0,True
2.0,True
1.0,True
4.0,True
3.0,True
0.0,False
0.0,False
7.0,True
3.0,True
3.0,True
2.0,True
1.0,True
2.0,True
3.0,True
2.0,True
0.0,False
1.0,True
3.0,True
4.0,True
2.0,True
2.0,True
1.0,True
1.0,False
0.0,False
4.0,True
3.0,True
3.0,True
1.0,True
4.0,True
7.0,True
4.0,True
2.0,True
2.0,True
4.0,True
0.0,False
1.0,False
2.0,True
4.0,True
2.0,True
1.0,False
1.0,True
1.0,True
2.0,True
2.0,True
2.0,True
3.0,True
2.0,True
3.0,True
0.0,False
2.0,True
3.0,True
1.0,True
2.0,True
1.0,True
2.0,True
2.0,True
4.0,True
2.0,True
4.0,True
4.0,True
3.0,True
6.0,True
3.0,True
4.0,True
3.0,True
4.0,True
1.0,True
3.0,True
1.0,False
4.0,True
3.0,True
2.0,True
1.0,True
2.0,True
1.0,True
2.0,True
1.0,False
1.0,True
1.0,False
3.0,True
2.0,True
2.0,True
2.0,True
5.0,True
2.0,True
5.0,True
2.0,True
4.0,True
4.0,True
2.0,True
3.0,True
3.0,True
2.0,True
3.0,True
3.0,True
2.0,True
2.0,True
1.0,True
3.0,True
2.0,True
1.0,True
4.0,True
2.0,True
2.0,True
7.0,True
4.0,True
1.0,False
0.0,False
3.0,True
3.0,True
0.0,False
3.0,True
1.0,False
4.0,True
2.0,True
2.0,True
2.0,True
3.0,True
7.0,True
4.0,True
2.0,True
8.0,True
0.0,False
1.0,True
2.0,True
5.0,True
2.0,True
3.0,True
2.0,True
0.0,False
2.0,True
1.0,False
1.0,False
1.0,True
3.0,True
2.0,True
2.0,True
3.0,True
2.0,True
3.0,True
0.0,False
5.0,True
4.0,True
1.0,False
1.0,False
3.0,True
2.0,True
1.0,False
1.0,True
1.0,True
4.0,True
3.0,True
1.0,True
1.0,False
2.0,True
2.0,True
3.0,True
3.0,True
2.0,True
3.0,True
4.0,True
2.0,True
5.0,True
4.0,True
3.0,True
2.0,True
2.0,True
4.0,True
3.0,True
1.0,True
2.0,True
1.0,True
6.0,True
0.0,False
1.0,True
6.0,True
3.0,True
2.0,True
1.0,False
1.0,False
3.0,True
3.0,True
3.0,True
2.0,True
3.0,True
6.0,True
1.0,True
4.0,True
2.0,True
2.0,True
2.0,True
2.0,True
4.0,True
3.0,True
2.0,True
2.0,True
3.0,True
1.0,False
2.0,True
2.0,True
2.0,True
5.0,True
2.0,True
2.0,True
3.0,True
3.0,True
2.0,True
2.0,True
0.0,False
0.0,False
2.0,True
1.0,True
3.0,True
4.0,True
4.0,True
6.0,True
2.0,True
1.0,True
6.0,True
3.0,True
2.0,True
2.0,True
3.0,True
4.0,True
1.0,True
0.0,False
6.0,True
2.0,True
4.0,True
2.0,True
2.0,True
2.0,True
3.0,True
3.0,True
1.0,True
1.0,False
2.0,True
1.0,False
1.0,False
7.0,True
3.0,True
3.0,True
1.0,False
3.0,True
3.0,True
6.0,True
2.0,True
2.0,True
1.0,False
2.0,True
2.0,True
1.0,False
3.0,True
2.0,True
1.0,False
2.0,True
1.0,True
2.0,True
2.0,True
1.0,False
0.0,False
3.0,True
1.0,True
1.0,True
2.0,True
2.0,True
1.0,False
3.0,True
2.0,True
1.0,False
3.0,True
3.0,True
5.0,True
3.0,True
4.0,True
3.0,True
3.0,True
1.0,True
2.0,True
3.0,True
2.0,True
2.0,True
1.0,False
2.0,True
3.0,True
2.0,True
4.0,True
2.0,True
3.0,True
5.0,True
4.0,True
4.0,True
2.0,True
2.0,True
4.0,True
3.0,True
4.0,True
1.0,True
2.0,True
4.0,True
5.0,True
1.0,True
6.0,True
2.0,True
1.0,True
3.0,True
1.0,True
3.0,True
3.0,True
5.0,True
2.0,True
2.0,True
2.0,True
3.0,True
2.0,True
4.0,True
3.0,True
2.0,True
1.0,True
1.0,False
1.0,False
2.0,True
3.0,True
4.0,True
1.0,False
1.0,True
2.0,True
1.0,False
4.0,True
3.0,True
3.0,True
1.0,True
4.0,True
3.0,True
5.0,True
2.0,True
2.0,True
1.0,False
2.0,True
3.0,True
3.0,True
2.0,True
2.0,True
3.0,True
2.0,True
1.0,False
3.0,True
2.0,True
1.0,False
0.0,False
1.0,False
0.0,False
1.0,True
3.0,True
3.0,True
1.0,True
1.0,False
3.0,True
2.0,True
1.0,True
1.0,True
4.0,True
0.0,False
2.0,True
5.0,True
4.0,True
2.0,True
2.0,True
1.0,True
3.0,True
1.0,True
6.0,True
3.0,True
1.0,False
2.0,True
1.0,False
6.0,True
5.0,True
0.0,False
4.0,True
5.0,True
4.0,True
0.0,False
6.0,True
4.0,True
0.0,False
3.0,True
4.0,True
3.0,True
2.0,True
2.0,True
5.0,True
4.0,True
1.0,False
1.0,True
1.0,True
1.0,True
3.0,True
2.0,True
1.0,True
1.0,True
4.0,True
3.0,True
2.0,True
2.0,True
4.0,True
1.0,True
2.0,True
0.0,False
3.0,True
2.0,True
3.0,True
3.0,True
4.0,True
5.0,True
1.0,False
2.0,True
3.0,True
3.0,True
1.0,True
1.0,False
0.0,False
2.0,True
3.0,True
0.0,False
7.0,True
3.0,True
3.0,True
4.0,True
1.0,False
3.0,True
2.0,True
2.0,True
2.0,True
2.0,True
2.0,True
2.0,True
2.0,True
2.0,True
3.0,True
2.0,True
3.0,True
2.0,True
2.0,True
3.0,True
1.0,True
1.0,False
2.0,True
2.0,True
2.0,True
3.0,True
3.0,True
1.0,False
2.0,True
0.0,False
4.0,True
1.0,False
1.0,False
2.0,True
1.0,False
1.0,True
1.0,True
4.0,True
1.0,False
4.0,True
1.0,True
3.0,True
2.0,True
2.0,True
1.0,False
0.0,False
2.0,True
0.0,False
1.0,True
2.0,True
2.0,True
4.0,True
1.0,True
2.0,True
2.0,True
2.0,True
3.0,True
8.0,True
1.0,True
2.0,True
4.0,True
2.0,True
4.0,True
2.0,True
4.0,True
2.0,True
4.0,True
2.0,True
0.0,False
9.0,True
2.0,True
1.0,True
4.0,True
4.0,True
3.0,True
2.0,True
3.0,True
1.0,True
4.0,True
1.0,False
3.0,True
2.0,True
2.0,True
3.0,True
1.0,True
2.0,True
1.0,True
2.0,True
4.0,True
4.0,True
0.0,False
2.0,True
4.0,True
2.0,True
2.0,True
2.0,True
1.0,True
2.0,True
2.0,True
1.0,False
2.0,True
2.0,True
2.0,True
2.0,True
5.0,True
3.0,True
0.0,False
2.0,True
3.0,True
5.0,True
3.0,True
5.0,True
2.0,True
1.0,True
2.0,True
3.0,True
2.0,True
2.0,True
0.0,False
4.0,True
2.0,True
6.0,True
2.0,True
3.0,True
3.0,True
3.0,True
2.0,True
4.0,True
1.0,False
1.0,True
2.0,True
0.0,False
1.0,True
3.0,True
2.0,True
7.0,True
2.0,True
4.0,True
3.0,True
1.0,False
3.0,True
3.0,True
1.0,True
6.0,True
1.0,False
3.0,True
3.0,True
2.0,True
2.0,True
1.0,True
2.0,True
2.0,True
2.0,True
2.0,True
3.0,True
5.0,True
3.0,True
1.0,False
1.0,False
2.0,True
2.0,True
3.0,True
2.0,True
4.0,True
2.0,True
0.0,False
2.0,True
2.0,True
6.0,True
2.0,True
1.0,False
3.0,True
2.0,True
2.0,True
2.0,True
1.0,False
4.0,True
4.0,True
4.0,True
1.0,True
5.0,True
5.0,True
2.0,True
3.0,True
1.0,True
5.0,True
2.0,True
1.0,True
2.0,True
1.0,True
3.0,True
2.0,True
2.0,True
2.0,True
2.0,True
3.0,True
1.0,False
1.0,True
4.0,True
2.0,True
2.0,True
1.0,True
3.0,True
2.0,True
4.0,True
2.0,True
1.0,True
2.0,True
2.0,True
2.0,True
2.0,True
4.0,True
4.0,True
1.0,True
2.0,True
3.0,True
2.0,True
3.0,True
3.0,True
3.0,True
3.0,True
6.0,True
3.0,True
2.0,True
4.0,True
3.0,True
3.0,True
1.0,True
2.0,True
2.0,True
4.0,True
1.0,True
7.0,True
3.0,True
1.0,False
1.0,True
2.0,True
1.0,False
1.0,True
5.0,True
2.0,True
2.0,True
3.0,True
2.0,True
2.0,True
1.0,True
2.0,True
4.0,True
1.0,False
2.0,True
1.0,False
0.0,False
1.0,False
4.0,True
2.0,True
2.0,True
2.0,True
1.0,False
2.0,True
1.0,True
3.0,True
2.0,True
4.0,True
2.0,True
1.0,True
4.0,True
2.0,True
3.0,True
4.0,True
2.0,True
4.0,True
2.0,True
4.0,True
2.0,True
0.0,False
3.0,True
0.0,False
3.0,True
4.0,True
4.0,True
5.0,True
2.0,True
6.0,True
1.0,True
1.0,False
2.0,True
1.0,False
2.0,True
2.0,True
1.0,True
2.0,True
1.0,True
2.0,True
1.0,False
3.0,True
2.0,True
0.0,False
2.0,True
3.0,True
4.0,True
2.0,True
3.0,True
1.0,True
1.0,False
1.0,True
1.0,True
3.0,True
1.0,False
6.0,True
2.0,True
1.0,False
2.0,True
2.0,True
1.0,True
3.0,True
1.0,False
1.0,True
1.0,False
2.0,True
1.0,True
2.0,True
1.0,False
2.0,True
0.0,False
1.0,True
2.0,True
1.0,True
3.0,True
1.0,False
1.0,True
2.0,True
2.0,True
3.0,True
2.0,True
1.0,False
1.0,True
3.0,True
2.0,True
2.0,True
2.0,True
3.0,True
2.0,True
0.0,False
2.0,True
10.0,True
4.4,True
1.2,True
1.6,True
0.8,False
0.8,False
2.0,True
1.6,True
0.8,False
0.8,False
3.2,True
3.6,True
3.2,True
2.0,True
2.4,True
1.2,True
4.0,True
0.8,False
3.2,True
3.2,True
5.2,True
1.6,True
1.6,True
1.6,True
1.6,True
1.6,True
0.4,False
2.4,True
1.6,True
2.8,True
4.4,True
1.6,True
2.0,True
2.8,True
1.6,True
2.4,True
1.6,True
1.6,True
2.4,True
0.0,False
1.2,True
1.2,True
1.2,True
3.6,True
0.8,False
3.2,True
1.6,True
3.6,True
2.0,True
4.8,True
3.6,True
1.6,True
1.6,True
2.4,True
3.6,True
0.8,False
1.2,True
3.6,True
2.8,True
2.8,True
0.8,False
0.4,False
2.4,True
2.4,True
2.8,True
1.2,True
2.8,True
3.2,True
1.6,True
3.2,True
1.2,True
2.8,True
0.8,False
0.8,False
2.8,True
3.2,True
2.8,True
0.8,False
2.4,True
4.0,True
0.4,False
1.2,True
1.2,True
0.8,False
1.2,True
2.0,True
2.8,True
2.8,True
1.6,True
4.8,True
1.6,True
6.0,True
0.8,False
1.2,True
4.0,True
2.8,True
4.0,True
1.6,True
2.0,True
2.0,True
2.0,True
3.2,True
2.8,True
3.2,True
1.6,True
2.0,True
1.6,True
0.8,False
2.0,True
7.6,True
2.4,True
0.4,False
1.6,True
0.8,False
2.8,True
4.4,True
1.6,True
2.0,True
3.2,True
5.6,True
2.4,True
0.8,False
1.6,True
2.4,True
8.0,True
2.8,True
5.2,True
2.8,True
1.6,True
2.8,True
3.6,True
1.2,True
0.8,False
2.4,True
2.8,True
4.0,True
3.6,True
2.4,True
2.0,True
1.2,True
0.8,False
4.4,True
0.4,False
1.2,True
1.6,True
0.4,False
0.8,False
1.2,True
4.0,True
2.4,True
2.0,True
6.8,True
3.2,True
1.6,True
1.6,True
2.0,True
2.0,True
1.2,True
3.2,True
1.2,True
4.4,True
0.4,False
3.6,True
4.4,True
4.4,True
1.6,True
2.8,True
4.0,True
2.4,True
1.2,True
0.8,False
0.8,False
1.6,True
3.2,True
1.6,True
3.2,True
5.2,True
3.2,True
4.0,True
1.2,True
2.0,True
0.8,False
3.2,True
7.2,True
1.2,True
3.6,True
3.2,True
1.2,True
0.8,False
2.0,True
0.8,False
1.6,True
2.0,True
2.0,True
2.4,True
2.4,True
2.0,True
3.2,True
1.6,True
3.2,True
1.2,True
3.6,True
4.0,True
2.0,True
1.6,True
2.0,True
3.2,True
3.2,True
1.2,True
2.0,True
2.4,True
2.0,True
1.2,True
0.8,False
6.4,True
2.4,True
1.6,True
2.4,True
2.0,True
2.0,True
2.0,True
1.6,True
1.6,True
4.4,True
3.2,True
2.4,True
1.2,True
2.0,True
2.8,True
0.4,False
3.2,True
2.4,True
2.8,True
1.2,True
2.0,True
5.6,True
2.4,True
2.8,True
1.6,True
1.2,True
2.4,True
2.4,True
2.0,True
3.2,True
3.2,True
2.0,True
2.8,True
2.0,True
3.2,True
2.8,True
2.8,True
0.8,False
2.8,True
3.2,True
2.4,True
2.0,True
2.8,True
4.8,True
3.6,True
2.8,True
2.4,True
2.4,True
1.6,True
1.6,True
2.0,True
2.4,True
4.8,True
2.4,True
1.2,True
1.2,True
0.0,False
2.0,True
3.2,True
4.0,True
2.0,True
2.4,True
1.6,True
1.6,True
2.4,True
2.4,True
3.2,True
1.6,True
2.8,True
2.0,True
0.8,False
2.4,True
2.0,True
2.8,True
2.4,True
1.2,True
3.2,True
4.0,True
4.4,True
5.2,True
0.4,False
0.8,False
2.8,True
2.0,True
1.2,True
1.2,True
1.2,True
3.2,True
2.4,True
2.8,True
2.4,True
1.2,True
2.0,True
0.8,False
5.6,True
1.6,True
1.6,True
2.4,True
2.8,True
3.2,True
2.4,True
2.8,True
6.8,True
0.4,False
4.4,True
1.2,True
2.4,True
2.8,True
0.0,False
0.8,False
4.0,True
3.6,True
2.4,True
1.6,True
4.0,True
0.4,False
1.6,True
2.4,True
1.6,True
1.6,True
4.0,True
0.4,False
1.6,True
3.2,True
3.2,True
1.6,True
2.4,True
1.6,True
2.4,True
3.2,True
4.4,True
2.0,True
4.0,True
4.8,True
1.6,True
0.8,False
1.2,True
2.0,True
2.8,True
1.6,True
0.8,False
5.6,True
1.2,True
0.0,False
1.2,True
2.4,True
1.6,True
0.8,False
0.8,False
2.0,True
2.4,True
0.4,False
0.4,False
2.0,True
3.6,True
0.4,False
3.6,True
1.6,True
4.0,True
2.8,True
2.0,True
1.6,True
3.2,True
1.2,True
0.8,False
2.0,True
1.2,True
1.2,True
0.8,False
4.4,True
6.8,True
8.0,True
1.6,True
4.0,True
2.4,True
1.6,True
2.4,True
3.6,True
3.2,True
1.6,True
1.2,True
0.8,False
3.6,True
1.2,True
3.6,True
2.4,True
3.2,True
2.0,True
0.8,False
2.8,True
3.6,True
2.0,True
2.0,True
2.0,True
1.6,True
6.4,True
3.2,True
0.8,False
1.2,True
1.2,True
1.6,True
2.4,True
2.0,True
2.0,True
1.6,True
0.8,False
0.8,False
2.8,True
1.6,True
5.6,True
3.2,True
1.2,True
0.8,False
1.6,True
4.4,True
3.2,True
1.2,True
3.2,True
2.0,True
0.8,False
1.2,True
2.0,True
0.8,False
3.2,True
4.0,True
2.8,True
6.8,True
4.0,True
0.8,False
4.0,True
5.6,True
2.8,True
2.0,True
7.2,True
2.4,True
1.6,True
1.6,True
1.6,True
3.6,True
2.8,True
1.2,True
0.4,False
1.2,True
