threshold,group_col,group_value,tn,fp,fn,tp,accuracy
5.0,Education Level,Bachelor,218,0,896,56,0.2341880341880342
6.0,Education Level,Bachelor,218,0,925,27,0.2094017094017094
7.0,Education Level,Bachelor,218,0,943,9,0.19401709401709402
5.0,Education Level,High School,78,0,63,5,0.5684931506849316
6.0,Education Level,High School,78,0,65,3,0.5547945205479452
7.0,Education Level,High School,78,0,65,3,0.5547945205479452
5.0,Education Level,Master,0,0,604,65,0.09715994020926756
6.0,Education Level,Master,0,0,636,33,0.04932735426008968
7.0,Education Level,Master,0,0,657,12,0.017937219730941704
5.0,Education Level,PhD,0,0,43,8,0.1568627450980392
6.0,Education Level,PhD,0,0,46,5,0.09803921568627451
7.0,Education Level,PhD,0,0,50,1,0.0196078431372549
5.0,Gender,F,147,0,801,81,0.22157434402332363
6.0,Gender,F,147,0,843,39,0.18075801749271136
7.0,Gender,F,147,0,871,11,0.15354713313896987
5.0,Gender,M,148,0,798,53,0.2012012012012012
6.0,Gender,M,148,0,822,29,0.17717717717717718
7.0,Gender,M,148,0,837,14,0.16216216216216217
5.0,Gender,Other,1,0,7,0,0.125
6.0,Gender,Other,1,0,7,0,0.125
7.0,Gender,Other,1,0,7,0,0.125
